"Year","District","GDP","GDPRate","FIN","CPI","GDPNRate","FINNRate"
1990,"北京",500.82,105.2,74.01,105.4,NA,NA
1990,"天津",310.95,105.4,44.8824,103,NA,NA
1990,"河北",896.33,105.799999992028,79.85,100.6,NA,NA
1990,"山西",429.27,105,51.75,102.2,NA,NA
1990,"内蒙古",319.3,107.5,32.98,102.3,NA,NA
1990,"辽宁",1062.7,100.9,129.3,103.3,NA,NA
1990,"吉林",425.28,103.4,50.68,104.9,NA,NA
1990,"黑龙江",715.2,105.8,76.58,105.7,NA,NA
1990,"上海",781.66,103.5,170.03,106.3,NA,NA
1990,"江苏",1416.5,105.012088923123,136.2,103.2,NA,NA
1990,"浙江",904.69,103.9,100.02,102.1,NA,NA
1990,"安徽",658,102.9,52.8866,102.7,NA,NA
1990,"福建",522.28,120.3,57.06,99.3,NA,NA
1990,"江西",428.62,104.5,40.6155,102.1,NA,NA
1990,"山东",1511.19,105.3,109.1082,103.4,NA,NA
1990,"河南",934.65,104.5,83.59,100.7,NA,NA
1990,"湖北",824.38,105.000862961684,77.85,104.2,NA,NA
1990,"湖南",744.44,104,70.07,100.4,NA,NA
1990,"广东",1559.02767526936,111.566505991168,131.02,97.5,NA,NA
1990,"广西",449.06,107.004392253967,46.83,101.1,NA,NA
1990,"海南",102.421052277815,110.6,7.39,102.1,NA,NA
1990,"重庆",299.82,106.8,25.6091,101.4,NA,NA
1990,"四川",890.95,109.09638325187,81.87,103.8,NA,NA
1990,"贵州",260.14,104.3,35.3678,101.8,NA,NA
1990,"云南",451.67,108.7,77.43,102.8,NA,NA
1990,"西藏",27.7,108.9,0.18,105,NA,NA
1990,"陕西",404.3,103.4,41.1901,101.3,NA,NA
1990,"甘肃",242.8,105.63,34.2065,103.2,NA,NA
1990,"青海",69.94,103.7,7.24,105.1,NA,NA
1990,"宁夏",64.84,103.669407515561,6.23,107.1,NA,NA
1990,"新疆",261.44,111.7,21.78,105,NA,NA
1991,"北京",598.89,109.9,77.02,111.9,0.195818857074398,0.0406701797054452
1991,"天津",342.65,106,58.0916,110.2,0.101945650426114,0.294306899809279
1991,"河北",1072.07,111,89.36,103.4,0.19606618098245,0.119098309329994
1991,"山西",468.51,104.2,55.59,104.8,0.091411000069886,0.0742028985507246
1991,"内蒙古",359.66,107.5,39.4,104.6,0.126401503288444,0.194663432383263
1991,"辽宁",1200.1,106.1,161.5,105.6,0.129293309494683,0.249033255993813
1991,"吉林",463.47,105.9,62.46,106.8,0.0897996613995486,0.232438831886346
1991,"黑龙江",822.3,106.6,94.74,107.4,0.149748322147651,0.237137633846957
1991,"上海",893.77,107.1,175.53,110.5,0.143425530281708,0.0323472328412633
1991,"江苏",1601.38,108.297635605007,143.29,104.9,0.130518884574656,0.0520558002936857
1991,"浙江",1089.33,117.8,110.3,103.5,0.20409200941759,0.102779444111178
1991,"安徽",663.6,99.1,48.1769,106.1,0.00851063829787235,-0.0890528035456997
1991,"福建",619.87,114.2,69.7,103.5,0.186853794899288,0.221521205748335
1991,"江西",479.37,108.2,44.805,102.8,0.118403247631935,0.103150275141264
1991,"山东",1810.54,114.6,128.5184,104.9,0.198088923298857,0.177898636399464
1991,"河南",1045.73,106.9,91.36,102.3,0.118846627079656,0.0929537025960043
1991,"湖北",913.38,106.641170328832,95.09,104.9,0.107959921395473,0.221451509312781
1991,"湖南",833.3,107.9,80.52,104.4,0.119364891730697,0.149136577708006
1991,"广东",1893.29811215356,117.678550333536,177.35,101.2,0.214409559359779,0.353610135857121
1991,"广西",518.59,112.730083447665,55.92,102.8,0.15483454326816,0.194106342088405
1991,"海南",120.523437870434,114.9,9.31,103.9,0.176744772583626,0.259810554803789
1991,"重庆",341.55,109,38.5153,107,0.139183510106064,0.503969292165676
1991,"四川",1016.31,109.113785114698,90.05,103,0.140703743195465,0.099914498595334
1991,"贵州",295.9,109.2,42.8004,104.4,0.137464442223418,0.21015160682881
1991,"云南",517.41,106.6,99.78,103.1,0.145548741337702,0.288647810925998
1991,"西藏",30.53,100.4,0.23,109.2,0.10216606498195,0.277777777777778
1991,"陕西",468.37,107.2,45.1391,106,0.158471432104873,0.0958725518996069
1991,"甘肃",271.39,106.57,37.89,104.9,0.117751235584843,0.107684212064958
1991,"青海",75.1,104.69,8.79,107.6,0.07377752359165,0.214088397790055
1991,"宁夏",71.78,104.770023349765,6.81,106.3,0.107032695866749,0.0930979133226322
1991,"新疆",335.91,114.4,26.45,108.6,0.28484547123623,0.214416896235078
1992,"北京",709.1,111.3,80.25,109.9,0.184023777321378,0.041937159179434
1992,"天津",411.04,111.7,63.0548,111.4,0.199591419816139,0.0854374814947427
1992,"河北",1278.5,115.6,99.67,106.1,0.192552725101906,0.115376007162041
1992,"山西",551.12,112.5,57.97,107.3,0.176324945038526,0.0428134556574922
1992,"内蒙古",421.7,111,39.08,107.4,0.172496246454985,-0.00812182741116751
1992,"辽宁",1473,112.1,151.6,106.7,0.227397716856929,-0.0613003095975233
1992,"吉林",558.06,112.2,56.99,108,0.204090879668587,-0.0875760486711495
1992,"黑龙江",959.7,106.5,84.55,109.2,0.167092302079533,-0.107557525860249
1992,"上海",1114.32,114.8,185.56,110,0.246763708784139,0.0571412294194724
1992,"江苏",2136.02,125.585621452238,152.31,106.6,0.333862043987061,0.0629492637308955
1992,"浙江",1375.7,119,118.36,107.5,0.262886361341375,0.0730734360834089
1992,"安徽",801.2,116.8,55.1395,108.2,0.207353827606992,0.144521544557661
1992,"福建",784.68,107.5,75.35,105.9,0.265878329327117,0.0810616929698706
1992,"江西",572.55,114.8,49.3882,105.7,0.194380123912635,0.102292154893427
1992,"山东",2196.53,116.9,139.3225,106.8,0.213190539838943,0.0840665616752152
1992,"河南",1279.75,113.7,104.03,105.4,0.223786254578141,0.138682136602452
1992,"湖北",1088.39,114.086598754703,94.14,109.6,0.191606998182575,-0.00999053528236415
1992,"湖南",986.98,111.1,92.78,110.7,0.184423376935078,0.152260307998013
1992,"广东",2447.54,122.113647423601,222.64,107.3,0.292738837211435,0.255370735833098
1992,"广西",646.6,118.315707463234,61.2,105.9,0.246842399583486,0.094420600858369
1992,"海南",184.915447540096,141.5,14.97,108.7,0.53426960604033,0.607948442534909
1992,"重庆",420.18,116.2,40.3585,111.2,0.230215195432587,0.0478563064548374
1992,"四川",1177.27,112.574892462739,99.97,107.4,0.158376873198138,0.110161021654636
1992,"贵州",339.91,108.1,47.2761,107.8,0.148732679959446,0.104571452603247
1992,"云南",618.69,110.9,109.32,108.9,0.19574418739491,0.0956103427540589
1992,"西藏",33.29,107.1,1.09,108.8,0.0904028824107435,3.73913043478261
1992,"陕西",531.63,108.3,50.9539,109.7,0.135064158677968,0.128819582136108
1992,"甘肃",317.79,109.89,39.9736,107.2,0.170971664394414,0.0549907627342305
1992,"青海",87.52,107.39,8.16,108,0.165379494007989,-0.0716723549488053
1992,"宁夏",83.14,108.567992075845,7.73,108.3,0.158261354137643,0.135095447870778
1992,"新疆",402.31,113.1,26.07,108.6,0.197671995474978,-0.0143667296786389
1993,"北京",886.21,112.3,84.1,119,0.249767310675504,0.0479750778816199
1993,"天津",538.94,112.1,74.96,117.6,0.311161930712339,0.188807196280061
1993,"河北",1690.84,117.7,144.21,113.8,0.322518576456785,0.446874686465336
1993,"山西",680.41,113.1,72.42,115.1,0.234595006532153,0.249266862170088
1993,"内蒙古",537.81,111.7,56.12,114.1,0.27533791795115,0.436028659160696
1993,"辽宁",2010.82,114.9,213.7,115.2,0.365118805159538,0.409630606860158
1993,"吉林",718.58,112.7,79.82,112.6,0.287639321936709,0.400596595894016
1993,"黑龙江",1198.3,107.4,108.11,114.8,0.248619360216734,0.278651685393258
1993,"上海",1519.23,115.1,242.34,120.2,0.363369588628042,0.305992670834232
1993,"江苏",2998.16,119.8,221.3,118.2,0.403619816293855,0.452957783467927
1993,"浙江",1925.91,122,166.64,119.8,0.399949116813259,0.407908077053058
1993,"安徽",1037.14,118.6,73.21,114.7,0.294483275087369,0.327723319943053
1993,"福建",1114.2,122.6,110.58,115.4,0.419941887138706,0.467551426675514
1993,"江西",723.04,113.7,65.67,114.6,0.262841673216313,0.32966984016425
1993,"山东",2770.37,120.4,194.4,112.7,0.26124842365003,0.395323799099212
1993,"河南",1660.18,115.8,139.2,110.4,0.297268997851143,0.338075555128328
1993,"湖北",1325.83,113,115.07,118.4,0.218157094423874,0.222328446993839
1993,"湖南",1244.71,112.4,127.56,116.8,0.26112991144704,0.374865272688079
1993,"广东",3469.28,123,346.56,121.6,0.417455894489978,0.556593604024434
1993,"广西",871.7,118.3,95.93,122,0.348128673059078,0.567483660130719
1993,"海南",260.41,120.6,23.03,123.3,0.408265255630056,0.538410153640615
1993,"重庆",608.53,115.6,44.56,118.7,0.448260269408349,0.104104463743697
